compound,ra,rb,fe,bg,a,b,c,shape
ZnPuO3,0.9,0.83,-1.827,0.0,4.291,4.291,4.291,cubic
MnIrO3,0.96,0.63,-0.83,0.0,3.905,3.905,3.905,cubic
BeHgO3,0.45,1.11,0.554,0.0,4.073,4.073,4.073,cubic
TmOsO3,1.05,0.57,-1.611,0.0,3.924,3.924,3.924,cubic
GdPaO3,1.11,0.91,-2.426,0.0,4.463,4.463,4.463,cubic
CeYO3,1.34,0.9,-3.136,1.935,4.3,4.3,4.3,cubic
OsTbO3,0.57,0.84,-0.393,0.0,4.296,4.296,4.296,cubic
TcErO3,0.6,0.89,-1.19,0.0,4.228,4.228,4.228,cubic
CuNpO3,0.68,0.86,-1.931,0.0,4.242,4.242,4.242,cubic
FeHoO3,0.78,0.9,-1.299,0.0,4.491,4.491,4.491,cubic
CoThO3,0.9,0.94,-1.851,0.0,4.534,4.534,4.534,cubic
GeThO3,0.73,0.94,-2.162,0.323,4.546,4.546,4.546,cubic
DyEuO3,1.08,1.06,-2.131,0.0,4.251,4.251,4.251,cubic
CdTlO3,1.31,1.2,-0.328,0.0,4.18,4.18,4.18,cubic
AsNdO3,0.58,0.98,-1.017,0.0,4.45,4.45,4.45,cubic
ZrReO3,0.89,0.58,-1.308,0.0,3.912,3.912,3.912,cubic
PdCdO3,0.75,0.95,0.39,0.0,4.09,4.09,4.09,cubic
CuCsO3,0.68,1.67,0.678,0.0,4.322,4.322,4.322,cubic
TmTcO3,1.05,0.6,-2.002,0.0,3.919,3.919,3.919,cubic
BeBiO3,0.45,0.9,-0.286,0.0,4.17,4.17,4.17,cubic
TaMgO3,0.74,0.72,-1.513,0.0,3.666,3.666,3.666,cubic
YTcO3,1.08,0.6,-2.083,0.0,3.934,3.934,3.934,cubic
SmTeO3,1.32,0.97,-1.542,0.0,4.246,4.246,4.246,cubic
RbScO3,1.72,0.75,-2.136,0.0,4.213,4.213,4.213,cubic
NaMgO3,1.39,0.72,-1.127,0.0,3.905,3.905,3.905,cubic
YbUO3,1.14,0.89,-3.007,0.0,4.383,4.383,4.383,cubic
PaTmO3,0.95,0.96,-2.533,0.0,4.214,4.214,4.214,cubic
LuCdO3,1.03,0.95,-1.455,0.0,4.071,4.071,4.071,cubic
DyCeO3,1.19,0.87,-2.306,0.0,4.532,4.532,4.532,cubic
GaSnO3,0.62,0.69,-1.166,0.0,4.018,4.018,4.018,cubic
AuZnO3,0.93,0.74,0.077,0.0,3.851,3.851,3.851,cubic
ThTeO3,1.21,0.97,-1.365,0.0,4.288,4.288,4.288,cubic
TiSiO3,0.86,0.4,-2.231,0.0,3.523,3.523,3.523,cubic
AcPmO3,1.12,0.97,-3.111,2.014,4.466,4.466,4.466,cubic
InErO3,0.92,0.89,-1.866,0.0,4.263,4.263,4.263,cubic
AgReO3,1.28,0.58,-1.22,0.0,3.889,3.889,3.889,cubic
BiBO3,1.38,0.27,-1.178,2.442,3.556,3.556,3.556,cubic
UErO3,1.03,0.89,-2.909,0.0,4.244,4.244,4.244,cubic
AuHoO3,0.93,0.9,-1.166,0.0,4.316,4.316,4.316,cubic
ErLaO3,1.06,1.03,-2.364,0.0,4.505,4.505,4.505,cubic
BGdO3,0.27,0.94,-0.42,0.0,4.364,4.364,4.364,cubic
BBaO3,0.27,1.35,0.652,0.0,4.528,4.528,4.528,cubic
SnWO3,0.81,0.66,-1.678,0.0,3.997,3.997,3.997,cubic
BCaO3,0.27,1.0,0.497,0.0,4.283,4.283,4.283,cubic
SiIrO3,0.4,0.63,-0.35,0.0,3.9,3.9,3.9,cubic
GeBiO3,0.63,0.9,-0.718,0.0,4.262,4.262,4.262,cubic
LiThO3,0.92,0.94,-2.564,0.0,4.478,4.478,4.478,cubic
BaLiO3,1.61,0.76,-1.359,0.0,3.965,3.965,3.965,cubic
PmHoO3,1.14,0.9,-3.105,1.764,4.254,4.254,4.254,cubic
UGdO3,1.03,0.94,-2.706,0.0,4.337,4.337,4.337,cubic
GaZrO3,0.62,0.72,-2.173,0.0,4.143,4.143,4.143,cubic
RuDyO3,0.62,0.99,-0.98,0.0,4.273,4.273,4.273,cubic
GeMgO3,0.63,0.72,-0.936,0.0,3.855,3.855,3.855,cubic
SmYO3,1.24,0.9,-3.003,1.744,4.275,4.275,4.275,cubic
ThFeO3,1.21,0.78,-2.539,0.0,3.896,3.896,3.896,cubic
CsLuO3,1.88,0.86,-2.164,0.0,4.413,4.413,4.413,cubic
CoBO3,0.61,0.27,-0.819,0.0,3.324,3.324,3.324,cubic
GePmO3,0.63,0.97,-1.437,0.0,4.397,4.397,4.397,cubic
CrSbO3,0.8,0.68,-1.354,0.0,3.986,3.986,3.986,cubic
SbHoO3,0.68,0.9,-1.825,0.0,4.277,4.277,4.277,cubic
PtHfO3,0.67,0.71,-1.611,0.0,4.063,4.063,4.063,cubic
MgIrO3,0.89,0.63,-1.017,0.0,3.898,3.898,3.898,cubic
NaPmO3,1.39,0.97,-1.892,0.0,4.495,4.495,4.495,cubic
LuAuO3,1.03,0.93,-1.148,0.0,4.077,4.077,4.077,cubic
LiHgO3,0.92,1.11,-0.088,0.0,4.144,4.144,4.144,cubic
BMnO3,0.27,0.53,-0.058,0.0,3.687,3.687,3.687,cubic
AsHgO3,0.52,1.11,0.404,0.0,4.145,4.145,4.145,cubic
DyNpO3,1.08,0.86,-2.574,0.0,4.403,4.403,4.403,cubic
DySbO3,1.08,0.76,-1.734,0.0,4.203,4.203,4.203,cubic
HoNbO3,1.12,0.68,-2.574,0.0,4.021,4.021,4.021,cubic
MoHfO3,0.69,0.71,-1.894,0.0,4.064,4.064,4.064,cubic
FeAlO3,0.78,0.54,-1.806,0.0,3.615,3.615,3.615,cubic
CdNdO3,1.31,0.98,-1.495,0.0,4.441,4.441,4.441,cubic
YbTmO3,1.04,0.88,-2.866,0.0,4.191,4.191,4.191,cubic
YNbO3,1.08,0.64,-2.615,0.0,4.027,4.027,4.027,cubic
NiNaO3,0.59,1.02,0.861,0.0,3.935,3.935,3.935,cubic
ZnZrO3,0.9,0.72,-2.084,0.0,4.108,4.108,4.108,cubic
CdHgO3,1.31,1.11,-0.055,0.0,4.133,4.133,4.133,cubic
CdSmO3,1.31,0.96,-1.578,0.0,4.396,4.396,4.396,cubic
ScPtO3,0.87,0.67,-1.156,0.0,3.964,3.964,3.964,cubic
RbRuO3,1.72,0.57,-1.265,0.0,3.951,3.951,3.951,cubic
GdTaO3,1.11,0.72,-2.731,0.0,4.006,4.006,4.006,cubic
ZnAuO3,0.9,0.93,0.06,0.0,4.0,4.0,4.0,cubic
NbRuO3,0.79,0.62,-0.644,0.0,3.874,3.874,3.874,cubic
AsThO3,0.58,0.94,-1.795,0.0,4.539,4.539,4.539,cubic
CuBeO3,0.68,0.45,-0.649,0.0,3.394,3.394,3.394,cubic
CdTmO3,1.31,0.96,-1.83,0.0,4.231,4.231,4.231,cubic
NaInO3,1.39,0.8,-1.002,0.0,4.149,4.149,4.149,cubic
TcMoO3,0.6,0.62,-0.972,0.0,3.933,3.933,3.933,cubic
ErSiO3,1.06,0.4,-2.61,0.0,3.663,3.663,3.663,cubic
NdAsO3,1.27,0.58,-2.055,0.0,4.033,4.033,4.033,cubic
RhCdO3,0.61,0.95,0.419,0.0,4.092,4.092,4.092,cubic
TcZrO3,0.6,0.72,-1.736,0.841,4.127,4.127,4.127,cubic
ReNbO3,0.58,0.72,-0.881,0.0,4.027,4.027,4.027,cubic
CrFeO3,0.8,0.59,-1.212,0.0,3.744,3.744,3.744,cubic
UNbO3,1.03,0.72,-2.632,0.0,4.064,4.064,4.064,cubic
GdWO3,1.11,0.66,-2.25,0.0,3.963,3.963,3.963,cubic
WNdO3,0.66,0.98,-0.471,0.0,4.434,4.434,4.434,cubic
AlCsO3,0.54,1.67,0.425,0.0,4.426,4.426,4.426,cubic
YbPmO3,1.04,0.97,-2.549,0.0,4.366,4.366,4.366,cubic
RuErO3,0.62,0.89,-1.052,0.0,4.232,4.232,4.232,cubic
PmPrO3,1.14,0.92,-2.572,0.965,4.501,4.501,4.501,cubic
RuSiO3,0.68,0.4,-1.257,0.0,3.583,3.583,3.583,cubic
NdYO3,1.27,0.9,-3.065,1.82,4.285,4.285,4.285,cubic
LuSiO3,1.03,0.4,-2.554,0.0,3.642,3.642,3.642,cubic
PdVO3,0.86,0.58,-1.267,0.0,3.767,3.767,3.767,cubic
YGeO3,1.08,0.63,-2.218,0.0,3.871,3.871,3.871,cubic
CaRbO3,1.34,1.52,-0.431,0.0,4.278,4.278,4.278,cubic
ThPbO3,1.21,0.99,-1.484,0.0,4.341,4.341,4.341,cubic
CuPdO3,0.68,0.75,0.086,0.0,3.897,3.897,3.897,cubic
OsReO3,0.57,0.57,-0.011,0.0,3.9,3.9,3.9,cubic
TcBiO3,0.6,0.9,-0.214,0.0,4.266,4.266,4.266,cubic
NbHfO3,0.79,0.71,-2.125,0.0,4.058,4.058,4.058,cubic
TiTaO3,0.86,0.68,-2.185,0.0,3.962,3.962,3.962,cubic
CoOsO3,0.9,0.57,-0.585,0.0,3.9,3.9,3.9,cubic
VLuO3,0.72,0.86,-1.942,0.0,4.163,4.163,4.163,cubic
TiHfO3,0.86,0.71,-2.561,0.0,4.041,4.041,4.041,cubic
CoPtO3,0.9,0.67,-0.083,0.0,3.925,3.925,3.925,cubic
NiBO3,0.6,0.27,-0.476,0.0,3.355,3.355,3.355,cubic
HoLaO3,1.12,1.03,-2.396,0.0,4.508,4.508,4.508,cubic
WYO3,0.66,0.9,-0.818,0.0,4.255,4.255,4.255,cubic
IrPtO3,0.63,0.67,0.656,0.0,3.956,3.956,3.956,cubic
GaIrO3,0.62,0.57,-0.682,0.0,3.912,3.912,3.912,cubic
Tc2O3,0.6,0.6,-0.634,0.0,3.901,3.901,3.901,cubic
BePbO3,0.45,0.78,-0.096,0.0,4.13,4.13,4.13,cubic
InNpO3,0.92,0.86,-2.242,0.0,4.338,4.338,4.338,cubic
SbMgO3,0.68,0.72,-1.308,0.0,3.849,3.849,3.849,cubic
PbAcO3,1.49,1.12,-1.799,0.0,4.633,4.633,4.633,cubic
TaZnO3,0.74,0.74,-0.727,0.0,3.764,3.764,3.764,cubic
ReTbO3,0.57,0.84,-0.497,0.0,4.295,4.295,4.295,cubic
AuGeO3,0.93,0.63,-0.632,0.0,3.774,3.774,3.774,cubic
YEuO3,1.08,0.95,-2.141,0.0,4.256,4.256,4.256,cubic
RhSiO3,0.61,0.4,-1.323,0.0,3.569,3.569,3.569,cubic
NpTeO3,0.98,0.77,-1.611,0.0,4.278,4.278,4.278,cubic
AuPdO3,0.93,0.75,0.25,0.0,3.948,3.948,3.948,cubic
AlLiO3,0.54,0.76,-0.683,0.0,3.45,3.45,3.45,cubic
YbCeO3,1.14,0.87,-2.379,0.0,4.484,4.484,4.484,cubic
YbBO3,1.04,0.27,-2.127,0.0,3.394,3.394,3.394,cubic
ZnVO3,0.9,0.58,-1.646,0.0,3.75,3.75,3.75,cubic
ScSbO3,0.87,0.6,-1.515,0.0,4.118,4.118,4.118,cubic
DyZrO3,1.19,0.72,-2.962,0.0,4.122,4.122,4.122,cubic
NpReO3,0.98,0.57,-2.045,0.0,3.986,3.986,3.986,cubic
AuTlO3,0.93,1.2,0.374,0.0,4.2,4.2,4.2,cubic
MgSrO3,0.89,1.18,-0.864,0.0,4.371,4.371,4.371,cubic
NbMnO3,0.72,0.65,-1.285,0.0,3.794,3.794,3.794,cubic
SiRhO3,0.4,0.6,-0.39,0.0,3.878,3.878,3.878,cubic
SiPrO3,0.4,0.92,-1.084,0.0,4.447,4.447,4.447,cubic
MnGaO3,0.96,0.62,-1.405,0.0,3.796,3.796,3.796,cubic
FeTeO3,0.92,0.97,-0.652,0.0,4.076,4.076,4.076,cubic
PmThO3,1.14,0.94,-2.902,0.0,4.555,4.555,4.555,cubic
KInO3,1.64,0.8,-1.076,0.0,4.219,4.219,4.219,cubic
HgCdO3,1.14,0.95,0.012,0.0,4.122,4.122,4.122,cubic
GdPrO3,1.11,0.99,-2.468,0.601,4.492,4.492,4.492,cubic
IrTeO3,0.63,0.77,0.247,0.0,4.091,4.091,4.091,cubic
SrCsO3,1.44,1.67,-0.835,0.0,4.517,4.517,4.517,cubic
LaCeO3,1.36,1.01,-2.7,0.687,4.558,4.558,4.558,cubic
PbPmO3,1.49,0.97,-1.897,0.0,4.452,4.452,4.452,cubic
NdSiO3,1.27,0.4,-2.679,0.0,3.765,3.765,3.765,cubic
OsErO3,0.57,0.89,-0.646,0.0,4.231,4.231,4.231,cubic
PaIrO3,0.95,0.63,-1.037,0.0,3.997,3.997,3.997,cubic
PmDyO3,1.14,0.99,-3.055,1.763,4.277,4.277,4.277,cubic
AsAgO3,0.58,0.75,0.229,0.0,3.993,3.993,3.993,cubic
BTeO3,0.27,0.97,0.034,0.0,4.014,4.014,4.014,cubic
GeNdO3,0.63,0.98,-1.383,0.0,4.425,4.425,4.425,cubic
AgTmO3,1.28,0.96,-1.419,0.0,4.281,4.281,4.281,cubic
AuSmO3,0.93,0.96,-0.944,0.0,4.415,4.415,4.415,cubic
HoRhO3,1.12,0.6,-1.831,0.0,3.908,3.908,3.908,cubic
PbPrO3,1.49,0.85,-1.8,0.0,4.457,4.457,4.457,cubic
BReO3,0.27,0.58,-0.466,0.0,3.844,3.844,3.844,cubic
CsHfO3,1.88,0.71,-2.615,0.0,4.242,4.242,4.242,cubic
SnPtO3,0.81,0.67,-0.644,0.0,4.018,4.018,4.018,cubic
VSiO3,0.79,0.4,-2.177,0.0,3.533,3.533,3.533,cubic
TmNdO3,1.05,0.98,-2.389,0.0,4.444,4.444,4.444,cubic
LuBO3,1.03,0.27,-2.525,3.125,3.406,3.406,3.406,cubic
LuPbO3,1.03,0.99,-1.358,0.0,4.268,4.268,4.268,cubic
LuYO3,1.03,0.9,-2.729,0.868,4.246,4.246,4.246,cubic
OsTaO3,0.57,0.68,-0.983,0.0,3.978,3.978,3.978,cubic
NbGdO3,0.72,0.94,-1.426,0.0,4.304,4.304,4.304,cubic
RbCdO3,1.72,0.95,-0.502,0.0,4.279,4.279,4.279,cubic
YSnO3,1.08,0.69,-2.029,0.0,4.102,4.102,4.102,cubic
CeUO3,1.34,0.89,-2.784,0.0,4.413,4.413,4.413,cubic
AcPuO3,1.12,0.83,-3.005,0.0,4.441,4.441,4.441,cubic
YRhO3,1.08,0.67,-1.848,0.0,3.919,3.919,3.919,cubic
PrEuO3,1.18,0.95,-2.362,0.0,4.287,4.287,4.287,cubic
HoMgO3,1.12,0.72,-2.591,0.0,3.797,3.797,3.797,cubic
CuIrO3,0.77,0.57,-0.389,0.0,3.853,3.853,3.853,cubic
RhVO3,0.67,0.64,-1.122,0.0,3.762,3.762,3.762,cubic
SrEuO3,1.44,1.06,-2.133,0.0,4.265,4.265,4.265,cubic
MoUO3,0.69,1.03,-1.748,0.0,4.325,4.325,4.325,cubic
CrRhO3,0.8,0.6,-0.789,0.0,3.879,3.879,3.879,cubic
TcHfO3,0.6,0.71,-1.925,0.925,4.072,4.072,4.072,cubic
OsLuO3,0.57,0.86,-0.762,0.0,4.165,4.165,4.165,cubic
LuLiO3,1.03,0.76,-2.031,0.0,3.582,3.582,3.582,cubic
DyAuO3,1.08,0.93,-1.292,0.0,4.091,4.091,4.091,cubic
TiCuO3,0.67,0.54,-1.045,0.0,3.636,3.636,3.636,cubic
LuTcO3,1.03,0.6,-1.949,0.0,3.917,3.917,3.917,cubic
PmTlO3,1.14,1.2,-1.596,0.0,4.25,4.25,4.25,cubic
PtBeO3,0.67,0.45,-0.554,0.0,3.469,3.469,3.469,cubic
CrErO3,0.57,0.89,-1.79,0.0,4.273,4.273,4.273,cubic
ZnNiO3,0.9,0.48,-0.484,0.0,3.662,3.662,3.662,cubic
TmPmO3,1.05,0.97,-2.48,0.0,4.401,4.401,4.401,cubic
SmSnO3,1.32,0.69,-2.114,0.0,4.123,4.123,4.123,cubic
NpAsO3,0.98,0.52,-2.088,0.0,4.051,4.051,4.051,cubic
VBeO3,0.72,0.45,-1.693,0.0,3.395,3.395,3.395,cubic
NdTmO3,1.27,0.88,-3.239,1.895,4.215,4.215,4.215,cubic
HoLiO3,1.12,0.76,-2.087,0.0,3.622,3.622,3.622,cubic
PrHgO3,1.18,1.11,-1.395,0.0,4.219,4.219,4.219,cubic
CuMgO3,0.68,0.72,-0.519,0.0,3.815,3.815,3.815,cubic
PdNaO3,0.75,1.02,0.776,0.0,3.952,3.952,3.952,cubic
NdSmO3,1.27,0.96,-2.834,1.318,4.402,4.402,4.402,cubic
KNiO3,1.64,0.59,-0.634,0.0,3.9,3.9,3.9,cubic
GeGaO3,0.63,0.62,-1.058,0.0,3.838,3.838,3.838,cubic
AuCeO3,0.93,0.94,-0.821,0.0,4.479,4.479,4.479,cubic
RbSmO3,1.72,0.96,-2.041,0.0,4.546,4.546,4.546,cubic
MoPaO3,0.73,0.91,-1.551,0.0,4.374,4.374,4.374,cubic
BAsO3,0.27,0.46,-0.025,0.0,3.658,3.658,3.658,cubic
WCoO3,0.66,0.61,-0.281,0.0,3.648,3.648,3.648,cubic
PrLaO3,1.18,1.03,-2.68,0.501,4.533,4.533,4.533,cubic
PmNpO3,1.14,0.86,-2.723,0.0,4.422,4.422,4.422,cubic
CeYbO3,1.34,0.87,-2.612,0.0,4.155,4.155,4.155,cubic
ScCuO3,0.87,0.54,-1.671,0.0,3.667,3.667,3.667,cubic
IrReO3,0.68,0.63,-0.213,0.0,3.885,3.885,3.885,cubic
ReGeO3,0.57,0.63,-0.265,0.0,3.797,3.797,3.797,cubic
LaPuO3,1.36,0.83,-2.954,0.0,4.413,4.413,4.413,cubic
SbPmO3,0.68,0.97,-1.526,0.0,4.44,4.44,4.44,cubic
PtZrO3,0.67,0.72,-1.423,0.0,4.121,4.121,4.121,cubic
ReUO3,0.57,0.85,-1.274,0.0,4.354,4.354,4.354,cubic
HoPuO3,1.12,0.83,-2.6,0.0,4.361,4.361,4.361,cubic
ZnTeO3,0.9,0.97,-0.742,0.0,4.074,4.074,4.074,cubic
ZrErO3,0.89,0.89,-2.252,0.0,4.196,4.196,4.196,cubic
ZrCsO3,0.89,1.67,0.323,0.0,4.491,4.491,4.491,cubic
SbPuO3,0.68,0.83,-1.897,0.0,4.365,4.365,4.365,cubic
TeAsO3,0.77,0.52,-0.523,0.0,3.978,3.978,3.978,cubic
FeDyO3,0.78,0.91,-1.335,0.0,4.263,4.263,4.263,cubic
GdCdO3,1.11,0.95,-1.652,0.0,4.094,4.094,4.094,cubic
TlDyO3,1.7,0.99,-1.791,0.0,4.414,4.414,4.414,cubic
BiErO3,1.38,0.89,-2.085,0.0,4.266,4.266,4.266,cubic
LuMoO3,1.03,0.69,-2.143,0.0,3.943,3.943,3.943,cubic
DyCdO3,1.08,0.95,-1.598,0.0,4.086,4.086,4.086,cubic
SbPrO3,0.68,0.92,-1.394,0.0,4.508,4.508,4.508,cubic
OsUO3,0.57,0.85,-1.116,0.0,4.306,4.306,4.306,cubic
Ir2O3,0.68,0.68,0.431,0.0,3.898,3.898,3.898,cubic
TaTmO3,0.74,0.96,-1.461,0.0,4.161,4.161,4.161,cubic
TlMgO3,1.7,0.72,-1.033,0.0,3.898,3.898,3.898,cubic
DyTeO3,1.19,0.97,-1.422,0.0,4.23,4.23,4.23,cubic
PmCeO3,1.14,0.94,-2.477,0.759,4.545,4.545,4.545,cubic
SbInO3,0.68,0.8,-0.954,0.0,4.11,4.11,4.11,cubic
HfErO3,0.83,0.89,-2.072,0.0,4.186,4.186,4.186,cubic
RbCuO3,1.72,0.68,-0.404,0.0,3.955,3.955,3.955,cubic
GeTbO3,0.73,0.76,-1.46,0.0,4.296,4.296,4.296,cubic
RbCoO3,1.72,0.63,-0.851,0.0,3.924,3.924,3.924,cubic
TaScO3,0.74,0.75,-1.73,0.0,3.948,3.948,3.948,cubic
BeRbO3,0.45,1.52,1.215,0.0,4.209,4.209,4.209,cubic
GdPuO3,1.11,0.83,-2.673,0.0,4.365,4.365,4.365,cubic
TmCdO3,1.05,0.95,-1.511,0.0,4.076,4.076,4.076,cubic
LuTbO3,1.03,0.92,-2.565,0.593,4.276,4.276,4.276,cubic
PrOsO3,1.18,0.57,-1.849,0.0,3.976,3.976,3.976,cubic
GaTiO3,0.62,0.71,-2.1,0.0,3.858,3.858,3.858,cubic
ZrPmO3,0.89,0.97,-1.822,0.0,4.39,4.39,4.39,cubic
PmIrO3,1.14,0.63,-1.763,0.0,3.975,3.975,3.975,cubic
GdAuO3,1.11,0.93,-1.348,0.0,4.098,4.098,4.098,cubic
CoGdO3,0.61,0.94,-1.256,0.0,4.308,4.308,4.308,cubic
DySiO3,1.08,0.4,-2.642,0.0,3.682,3.682,3.682,cubic
PdCoO3,0.86,0.53,-0.166,0.0,3.695,3.695,3.695,cubic
SbAcO3,0.68,1.12,-1.305,0.0,4.637,4.637,4.637,cubic
TeMoO3,0.97,0.65,-1.078,0.0,4.0,4.0,4.0,cubic
AlFeO3,0.54,0.65,-1.125,0.0,3.744,3.744,3.744,cubic
BiYO3,1.38,0.9,-1.982,0.0,4.317,4.317,4.317,cubic
ZnTmO3,0.9,0.96,-1.554,0.0,4.213,4.213,4.213,cubic
PaNpO3,0.95,0.86,-2.366,0.0,4.354,4.354,4.354,cubic
HfIrO3,0.83,0.63,-0.807,0.0,3.918,3.918,3.918,cubic
BiIrO3,1.38,0.63,-0.685,0.0,3.995,3.995,3.995,cubic
TaTeO3,0.74,0.97,-0.061,0.0,4.177,4.177,4.177,cubic
AlRhO3,0.54,0.67,-0.666,0.0,3.872,3.872,3.872,cubic
BiAcO3,1.38,1.12,-1.489,0.0,4.655,4.655,4.655,cubic
AsTiO3,0.58,0.61,-1.759,0.0,3.865,3.865,3.865,cubic
AsCuO3,0.58,0.54,-0.301,0.0,3.702,3.702,3.702,cubic
CePmO3,1.24,0.97,-2.861,1.226,4.44,4.44,4.44,cubic
ZnCdO3,0.9,0.95,-0.049,0.0,4.054,4.054,4.054,cubic
PaHoO3,0.95,0.9,-2.428,0.0,4.256,4.256,4.256,cubic
NbMoO3,0.79,0.65,-1.169,0.0,3.929,3.929,3.929,cubic
ZnLuO3,0.9,0.86,-1.622,0.0,4.182,4.182,4.182,cubic
RuAuO3,0.62,0.93,0.605,0.0,4.035,4.035,4.035,cubic
BeRuO3,0.45,0.62,-0.442,0.0,3.828,3.828,3.828,cubic
LaSbO3,1.36,0.76,-2.075,0.0,4.261,4.261,4.261,cubic
MgWO3,0.89,0.66,-1.951,0.0,3.924,3.924,3.924,cubic
NpCoO3,0.98,0.63,-2.318,0.0,3.769,3.769,3.769,cubic
GeBO3,0.63,0.27,-0.847,0.0,3.374,3.374,3.374,cubic
TaPmO3,0.74,0.97,-0.97,0.0,4.388,4.388,4.388,cubic
SbNbO3,0.68,0.68,-1.725,0.0,4.066,4.066,4.066,cubic
TlWO3,1.7,0.62,-1.845,0.0,4.001,4.001,4.001,cubic
As2O3,0.58,0.58,-0.521,0.0,3.854,3.854,3.854,cubic
BiLaO3,1.38,1.03,-1.657,0.0,4.533,4.533,4.533,cubic
BiPuO3,1.38,0.83,-2.053,0.0,4.378,4.378,4.378,cubic
PdGeO3,0.86,0.53,-0.737,0.0,3.73,3.73,3.73,cubic
OsSiO3,0.57,0.4,-0.71,0.0,3.611,3.611,3.611,cubic
PrUO3,1.18,1.03,-2.754,0.0,4.397,4.397,4.397,cubic
ZrTaO3,0.89,0.64,-2.14,0.0,3.988,3.988,3.988,cubic
SmSiO3,1.24,0.4,-2.675,0.0,3.732,3.732,3.732,cubic
CuHfO3,0.68,0.71,-2.027,0.0,4.06,4.06,4.06,cubic
EuCeO3,1.48,0.87,-2.557,0.0,4.494,4.494,4.494,cubic
CuFeO3,0.73,0.59,-0.649,0.0,3.717,3.717,3.717,cubic
HoSmO3,1.12,0.96,-2.604,0.89,4.379,4.379,4.379,cubic
EuNdO3,1.12,0.98,-2.666,0.0,4.414,4.414,4.414,cubic
CuCoO3,0.73,0.53,-0.389,0.0,3.665,3.665,3.665,cubic
TmAgO3,1.05,0.75,-1.351,0.0,4.006,4.006,4.006,cubic
ReMnO3,0.57,0.62,-0.362,0.0,3.809,3.809,3.809,cubic
MnDyO3,0.96,0.99,-1.85,0.0,4.259,4.259,4.259,cubic
PaLuO3,0.95,0.86,-2.603,0.0,4.167,4.167,4.167,cubic
AsCrO3,0.58,0.62,-1.192,0.0,3.792,3.792,3.792,cubic
PmKO3,1.14,1.38,-0.876,0.0,4.191,4.191,4.191,cubic
MoTiO3,0.69,0.67,-1.678,0.0,3.86,3.86,3.86,cubic
PtSnO3,0.67,0.69,-0.433,0.0,4.021,4.021,4.021,cubic
TeHoO3,0.77,0.9,-1.541,0.0,4.302,4.302,4.302,cubic
GaAlO3,0.62,0.54,-1.81,0.0,3.638,3.638,3.638,cubic
SiHoO3,0.4,0.9,-1.406,0.0,4.249,4.249,4.249,cubic
NiPtO3,0.59,0.67,-1.67,0.0,3.905,3.905,3.905,cubic
LaThO3,1.36,0.94,-3.077,0.0,4.566,4.566,4.566,cubic
DyPbO3,1.19,0.78,-1.5,0.0,4.285,4.285,4.285,cubic
AcTeO3,1.12,0.77,-1.817,0.0,4.346,4.346,4.346,cubic
CeCaO3,1.14,1.0,-2.39,0.0,4.173,4.173,4.173,cubic
ZnGdO3,0.9,0.94,-1.406,0.0,4.324,4.324,4.324,cubic
PuNbO3,0.96,0.68,-2.909,0.0,4.072,4.072,4.072,cubic
BeGeO3,0.45,0.53,-1.002,0.0,3.641,3.641,3.641,cubic
CoReO3,0.61,0.63,-0.948,0.0,3.875,3.875,3.875,cubic
HoNdO3,1.12,0.98,-2.456,0.331,4.448,4.448,4.448,cubic
PaHfO3,0.95,0.71,-2.502,0.0,4.095,4.095,4.095,cubic
MoWO3,0.65,0.66,-1.019,0.0,3.943,3.943,3.943,cubic
LuNpO3,1.03,0.86,-2.448,0.0,4.398,4.398,4.398,cubic
RbTcO3,1.72,0.6,-1.724,0.0,3.952,3.952,3.952,cubic
HfLuO3,0.83,0.86,-2.224,0.0,4.117,4.117,4.117,cubic
RbPmO3,1.72,0.97,-2.027,0.0,4.567,4.567,4.567,cubic
RuMoO3,0.68,0.65,-0.9,0.0,3.911,3.911,3.911,cubic
AuPuO3,0.93,0.83,-1.527,0.0,4.272,4.272,4.272,cubic
MgAsO3,0.89,0.52,-1.46,0.0,3.815,3.815,3.815,cubic
RhLuO3,0.67,0.86,-1.197,0.0,4.188,4.188,4.188,cubic
ErHoO3,1.06,0.9,-2.897,1.411,4.229,4.229,4.229,cubic
WTcO3,0.63,0.6,-0.179,0.0,3.896,3.896,3.896,cubic
YPdO3,1.08,0.75,-1.714,0.0,3.956,3.956,3.956,cubic
AgPmO3,1.28,0.97,-1.194,0.0,4.426,4.426,4.426,cubic
PaNdO3,0.95,0.98,-1.968,0.0,4.452,4.452,4.452,cubic
FeNiO3,0.92,0.48,-0.519,0.0,3.623,3.623,3.623,cubic
NiWO3,0.69,0.66,-0.276,0.0,4.458,4.458,4.458,cubic
Be2O3,0.45,0.45,-0.854,0.0,3.343,3.343,3.343,cubic
NpBO3,0.98,0.27,-2.414,0.0,3.572,3.572,3.572,cubic
CeBeO3,1.14,0.45,-2.673,0.0,3.674,3.674,3.674,cubic
HoCaO3,1.12,1.0,-2.126,0.0,4.115,4.115,4.115,cubic
PmPbO3,1.14,0.99,-1.626,0.0,4.233,4.233,4.233,cubic
BAgO3,0.27,0.95,1.216,0.0,3.959,3.959,3.959,cubic
NbPtO3,0.77,0.67,-0.206,0.0,3.977,3.977,3.977,cubic
SnLiO3,0.81,0.76,-0.725,0.0,3.603,3.603,3.603,cubic
ReCoO3,0.58,0.75,0.006,0.0,3.663,3.663,3.663,cubic
