compound,ra,rb,fe,bg,a,b,c,shape
BeNbO3,0.45,0.68,-1.581,0.0,3.965,3.965,3.965,cubic
SiTbO3,0.4,0.84,-1.193,0.0,4.286,4.286,4.286,cubic
TbLaO3,1.1,1.03,-2.329,0.0,4.513,4.513,4.513,cubic
ErZrO3,1.06,0.72,-2.91,0.0,4.119,4.119,4.119,cubic
Pa2O3,0.95,0.91,-1.768,0.0,4.482,4.482,4.482,cubic
KYbO3,1.64,0.95,-1.327,0.0,4.294,4.294,4.294,cubic
ReErO3,0.57,0.89,-0.757,0.0,4.23,4.23,4.23,cubic
RhTaO3,0.67,0.64,-1.699,0.0,3.961,3.961,3.961,cubic
ErAsO3,1.06,0.58,-1.854,0.0,3.981,3.981,3.981,cubic
TlPaO3,1.7,0.91,-2.563,3.399,4.415,4.415,4.415,cubic
CrPtO3,0.57,0.67,-0.512,0.0,3.94,3.94,3.94,cubic
RbPrO3,1.72,0.92,-1.969,0.0,4.627,4.627,4.627,cubic
RbHfO3,1.72,0.71,-2.727,0.0,4.185,4.185,4.185,cubic
WTiO3,0.66,0.61,-1.268,0.0,3.856,3.856,3.856,cubic
RhMoO3,0.67,0.69,-1.034,0.0,3.898,3.898,3.898,cubic
ZnBiO3,0.9,0.9,-0.663,0.0,4.187,4.187,4.187,cubic
LiPdO3,0.92,0.75,-0.488,0.0,3.903,3.903,3.903,cubic
VPaO3,0.72,0.91,-2.075,0.0,4.362,4.362,4.362,cubic
ZnRhO3,0.9,0.6,-0.519,0.0,3.868,3.868,3.868,cubic
SnRhO3,0.81,0.6,-0.88,0.0,3.95,3.95,3.95,cubic
SbLaO3,0.68,1.03,-1.456,0.0,4.517,4.517,4.517,cubic
GaHoO3,0.62,0.9,-1.649,0.0,4.346,4.346,4.346,cubic
ThPdO3,1.21,0.86,-1.925,0.0,4.031,4.031,4.031,cubic
BMoO3,0.27,0.61,-0.771,0.0,3.874,3.874,3.874,cubic
ErBO3,1.06,0.27,-2.53,3.096,3.434,3.434,3.434,cubic
RhTeO3,0.61,0.77,-0.224,0.0,4.072,4.072,4.072,cubic
SnZnO3,0.81,0.74,-0.854,0.0,3.847,3.847,3.847,cubic
UNpO3,1.17,0.86,-2.741,0.0,4.433,4.433,4.433,cubic
HoGeO3,1.12,0.53,-2.193,0.0,3.86,3.86,3.86,cubic
KCdO3,1.64,0.95,-0.527,0.0,4.219,4.219,4.219,cubic
ThAsO3,1.21,0.58,-1.892,0.0,4.075,4.075,4.075,cubic
ErGeO3,1.06,0.63,-2.171,0.0,3.859,3.859,3.859,cubic
SiFeO3,0.4,0.59,-0.833,0.0,3.751,3.751,3.751,cubic
NpPdO3,0.98,0.75,-1.89,0.0,3.999,3.999,3.999,cubic
CoTeO3,0.9,0.97,-0.569,0.0,4.1,4.1,4.1,cubic
VDyO3,0.72,0.99,-1.75,0.0,4.262,4.262,4.262,cubic
NiGaO3,0.59,0.62,-0.499,0.0,3.783,3.783,3.783,cubic
SnHoO3,0.81,0.9,-1.972,0.0,4.301,4.301,4.301,cubic
TbAcO3,1.1,1.12,-2.061,0.0,4.66,4.66,4.66,cubic
TmInO3,1.05,0.8,-2.065,1.289,4.081,4.081,4.081,cubic
TiPtO3,0.74,0.67,-0.525,0.0,3.941,3.941,3.941,cubic
NpAuO3,0.98,0.93,-1.502,0.0,4.131,4.131,4.131,cubic
GeSbO3,0.73,0.68,-1.036,0.0,4.068,4.068,4.068,cubic
GaRhO3,0.62,0.61,-0.65,0.0,3.891,3.891,3.891,cubic
PdPuO3,0.75,0.83,-1.478,0.0,4.265,4.265,4.265,cubic
TbBiO3,1.1,0.76,-1.418,0.0,4.365,4.365,4.365,cubic
ThTlO3,1.21,1.2,-1.505,0.0,4.277,4.277,4.277,cubic
PdMgO3,0.75,0.72,-0.535,0.0,3.791,3.791,3.791,cubic
PuPmO3,0.96,0.97,-2.629,0.405,4.457,4.457,4.457,cubic
BCoO3,0.27,0.53,0.418,0.0,3.623,3.623,3.623,cubic
BRuO3,0.27,0.57,0.072,0.0,3.817,3.817,3.817,cubic
OsAsO3,0.57,0.52,0.242,0.0,3.871,3.871,3.871,cubic
InMoO3,0.92,0.61,-1.703,0.0,3.995,3.995,3.995,cubic
TiRuO3,0.86,0.62,-0.998,0.0,3.839,3.839,3.839,cubic
DyNbO3,1.19,0.68,-2.601,0.0,4.023,4.023,4.023,cubic
ErTmO3,1.06,0.88,-3.008,1.701,4.179,4.179,4.179,cubic
UReO3,1.03,0.63,-1.93,0.0,3.993,3.993,3.993,cubic
OsTeO3,0.57,0.77,0.422,0.0,4.134,4.134,4.134,cubic
HoWO3,1.12,0.66,-2.173,0.0,3.956,3.956,3.956,cubic
TcLuO3,0.6,0.86,-1.302,0.0,4.181,4.181,4.181,cubic
TmLaO3,1.05,1.03,-2.328,0.0,4.499,4.499,4.499,cubic
ZrMnO3,0.89,0.65,-1.956,0.0,3.796,3.796,3.796,cubic
VTaO3,0.79,0.68,-2.226,0.0,3.966,3.966,3.966,cubic
VWO3,0.79,0.66,-1.676,0.0,3.913,3.913,3.913,cubic
VGdO3,0.72,0.94,-1.746,0.0,4.305,4.305,4.305,cubic
MoPtO3,0.73,0.67,0.12,0.0,3.973,3.973,3.973,cubic
FePtO3,0.85,0.67,-0.185,0.0,3.923,3.923,3.923,cubic
RhAsO3,0.67,0.58,-0.341,0.0,3.792,3.792,3.792,cubic
ReSnO3,0.57,0.69,-0.241,0.0,4.038,4.038,4.038,cubic
ZrInO3,0.89,0.8,-1.393,0.0,4.074,4.074,4.074,cubic
IrTmO3,0.68,0.88,-0.764,0.0,4.215,4.215,4.215,cubic
OsMgO3,0.57,0.72,-0.243,0.0,3.698,3.698,3.698,cubic
CrHoO3,0.57,0.9,-1.776,0.0,4.287,4.287,4.287,cubic
TmSmO3,1.05,0.96,-2.537,0.355,4.374,4.374,4.374,cubic
PrThO3,1.18,0.94,-2.963,0.0,4.56,4.56,4.56,cubic
CoFeO3,0.61,0.65,-0.853,0.0,3.717,3.717,3.717,cubic
OsHoO3,0.57,0.9,-0.608,0.0,4.252,4.252,4.252,cubic
HoCdO3,1.12,0.95,-1.57,0.0,4.083,4.083,4.083,cubic
InSmO3,0.92,0.96,-1.661,0.0,4.421,4.421,4.421,cubic
CaLaO3,1.34,1.03,-2.493,0.0,4.446,4.446,4.446,cubic
Y2O3,1.08,0.9,-2.888,1.751,4.264,4.264,4.264,cubic
CdInO3,1.31,0.8,-0.845,0.0,4.107,4.107,4.107,cubic
PrTbO3,1.18,0.92,-2.941,1.649,4.315,4.315,4.315,cubic
YbNpO3,1.04,0.86,-2.937,0.0,4.363,4.363,4.363,cubic
InCoO3,0.92,0.61,-0.986,0.0,3.721,3.721,3.721,cubic
GaPtO3,0.62,0.67,-0.409,0.0,3.953,3.953,3.953,cubic
BeAgO3,0.45,0.95,0.433,0.0,3.93,3.93,3.93,cubic
TcTmO3,0.6,0.96,-1.237,0.0,4.219,4.219,4.219,cubic
MgAgO3,0.89,0.95,-0.491,0.0,3.968,3.968,3.968,cubic
ReCuO3,0.58,0.77,0.264,0.0,3.702,3.702,3.702,cubic
OsScO3,0.57,0.75,-0.872,0.0,4.002,4.002,4.002,cubic
AuNpO3,0.93,0.86,-1.721,0.0,4.258,4.258,4.258,cubic
